IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
