IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.92,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.88,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.84,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 5.15,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 5.23,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 5.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.88,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.93,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 5.09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.86,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 4.88,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 5.27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET TIC2 BWG, 5.07,192.168.7.31,LAN
