IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 2.84,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.21,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.29,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.25,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.28,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.25,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 3.48,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.58,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.56,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.60,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC SAMCOL, 4.59,192.168.7.31,LAN
