IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,73.09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,73.73,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,75.07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,75.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,76.13,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,75.86,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,75.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,72.34,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,71.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,72.20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO, 6.66,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC BALADO,-0.00,192.168.7.31,LAN
