IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.06,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.93,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.95,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,192.168.7.31,LAN
