IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:44,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:45,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.26,2025-01-11 11:03:47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:48,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.26,2025-01-11 11:03:50,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:50,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:51,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:53,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:56,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.26,2025-01-11 11:03:57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:03:59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:04:00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.26,2025-01-11 11:04:02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:04:02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:04:03,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.27,2025-01-11 11:04:03,192.168.7.31,LAN
