IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,35.82,2025-01-13 14:57:49,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,35.34,2025-01-13 14:57:51,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.18,2025-01-13 14:57:52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.05,2025-01-13 14:57:54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,35.89,2025-01-13 14:57:54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,37.67,2025-01-13 14:57:55,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,38.14,2025-01-13 14:57:57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,37.51,2025-01-13 14:57:57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,37.28,2025-01-13 14:57:58,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,36.88,2025-01-13 14:58:00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,37.39,2025-01-13 14:58:01,192.168.7.31,LAN
