IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,1970-01-01 07:06:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.96,1970-01-01 07:06:35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.09,1970-01-01 07:07:58,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,1970-01-01 07:08:28,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,1970-01-01 07:08:59,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,1970-01-01 07:09:33,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.25,1970-01-01 07:13:46,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,1970-01-01 07:14:26,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,1970-01-01 07:15:32,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,1970-01-01 07:16:11,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,1970-01-01 07:16:57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.01,1970-01-01 07:17:37,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.04,1970-01-01 07:18:30,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.09,1970-01-01 07:20:17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.02,1970-01-01 07:21:21,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.05,1970-01-01 07:22:47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,1970-01-01 07:23:54,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.03,1970-01-01 07:25:01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 2.00,1970-01-01 07:26:30,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.99,1970-01-01 07:27:43,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,1970-01-01 07:28:04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.98,1970-01-01 07:28:53,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 1.97,1970-01-01 07:29:51,192.168.7.31,LAN
