IoT-31,Weigher | Kerupuk 31,LEANET BBQ,14.34,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,14.42,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,14.39,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,13.92,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,13.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.06,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.05,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.06,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,15.07,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ, 0.04,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,11.66,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,11.27,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,LEANET BBQ,11.57,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.01,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 9.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 6.88,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
