IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,10.49,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 7.39,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 6.86,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 6.91,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 6.77,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,-0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 8.21,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 8.69,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 8.35,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.00,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,10.52,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 8.08,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 7.53,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 7.48,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,10.97,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 3.89,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP,13.16,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 3.38,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 0.09,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 6.17,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 5.47,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 5.45,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 5.41,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 5.20,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 5.12,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 5.02,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 4.94,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 4.86,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 4.74,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 4.71,192.168.7.31,LAN
IoT-31,Weigher | Kerupuk 31,TIC TIC CBP, 4.68,192.168.7.31,LAN
